,会社名,仕事内容,項目C
31,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,★転勤なし/希望勤務地考慮/UIターン歓迎 ▼勤務地一覧 東京都中央区日本橋3-2-11 大阪府大…,
32,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,月給23万円以上 ※給与の金額は、あなたのスキルや能力を考慮した上で、決定となります。 ▼大阪・福岡…,
33,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,300万円～400万円,
34,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げます！（※加盟金・違約金は不要です／力仕事ではありません）,
35,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,【経験不問・学歴不問・フリーランスデビュー大歓迎！ ◆第二新卒・失業中の方・フリーターの方も大歓迎です】◎普通自動車免許をお持ちの方（AT可）,
36,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,原則自由 東京/23区全域 神奈川/川崎、横浜 埼玉/さいたま、越谷、吉川、三郷、草加、八潮 千葉…,
37,株式会社いーふらん | 高級宝飾時計商おたからや,完全出来高制（1個あたり150〜250円 ※エリアによる／平均日当3万円） もしくは 固定制（日当1万5千〜2万…,
38,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,300万円～1000万円,
39,株式会社エフティグループ | 東証JASDAQ上場総合商社★成果主義★年休120日★WEB面接1回,【営業＆IT業界デビューを応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,
40,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,【未経験歓迎！第二新卒歓迎】◆高卒以上◆35歳以下の方（※）★9割業界・職種未経験入社！ゼロからITの知識を身につけよう！20~30代が中心に活躍中♪,
41,リアルバード株式会社 | ★最長2年3カ月の充実研修★企業のリスクマネジメントをサポート,【慣れ親しんだ、希望のエリアで働ける！】 宮城県仙台市、北海道札幌市、愛知県名古屋市、大阪府大阪市…,
42,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,
43,ケイアイスター不動産株式会社 | 【東証一部上場】CM放映中！昨年も約30店出店/「くるみん」取得,"【完全反響営業スタイル◎】TVCM、WEB広告などプロモーションで効率的な営業活動を実現！""売れる仕組み""を整えた、住宅の提案営業をお任せします。",
44,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,【応募者全員と面接します！社員の9割が未経験の職場！】◆40歳以下の方(※) ／運転免許(AT限定可) ◆高額インセンティブで月収250万円稼いだ先輩も！,
45,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,【本社をリニューアル！キレイな職場で活躍できます】 □本社／大阪府大阪市浪速区稲荷2-1-3 □福…,
46,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,【1】月給25万円〜+賞与(年3回)+インセンティブ（一律10万円） 【2】月給20万円以上+諸手当+高インセンテ…,
47,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,【「好きな技術」「携わりたいフェーズ」など1600案件で実現】Java/PHP/Python、要件定義・設計、大手プライム、AIなど★入社時に年収120万増実績有,
48,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,＊技術志向・上流志向いずれも歓迎＊【残業月平均5～10h！】◎開発経験3年以上（言語不問）★土日祝休み/年休130日/有給取得100％！,
49,株式会社貴順 | ★未経験歓迎★週・日払いも可★男女活躍中★契約祝金3万円あり,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原）などの各クライアント先 ※※ご…,
