,会社名,仕事内容,初年度年収
26,株式会社イースマイル | 【TVCM展開中！全国30拠点を展開】大半が前職より収入UPを実現！,【スタッフの90％が月報酬50万円以上】水まわりのメンテナンス事業 ★「充実講習」「稼働祝い金20万円支給」「工具・社用車レンタル」で安心スタ－ト,400万円～800万円
27,株式会社修優舘 | オープニング募集・教室長のポスト多数あり/賞与年3回+業績給,《基本残業ゼロ》小・中学生への個別指導＆教室運営をお任せ★一度に教えるのは3人まで★就業後の事務処理＆残業なし(教室が定時で自動消灯),300万円～650万円
28,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,【年間休日最大190日・無理なく働ける】 生活家電や医療機器等のものづくり工場にてパーツの組立てや加工をお任せ ★完全週休二日制・土日休みも可能,300万円～500万円
29,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,＼中途入社・年齢のハンデ一切なし!!／土地オーナー様向に、アパートやマンション経営など、土地活用方法をご提案ください。,400万円～700万円
30,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,◆未経験からでも安心の教育体制！◆地域のお客さまへ土地活用の提案をお任せします◆頑張りは、賞与5ヶ月分・高水準のインセン支給でたっぷり還元！,400万円～800万円
31,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,《ノルマなし》ご来店されたお客さまへのカウンセリングやお手入れ、ミュゼコスメのご提案をお任せ★約3カ月の研修あり★美容の資格も取得できる,600万円～2000万円
32,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,■『土地活用の提案営業』をお任せします ■年齢・社歴に関わらず早期キャリアUPも可能！入社後の教育制度も充実！■地域貢献度の高い仕事,300万円～700万円
33,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,<8月・9月入社歓迎/男性活躍中!>研修からスタート！駅ビルや商業施設などの点検・保守等、管理業務 ★スピード選考！即日内定可能★年休120日以上,400万円～1000万円
34,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【地道な作業が好きな方は打ってつけのお仕事！】ものづくり工場にて、製品の箱づめ・梱包等の業務を担当★8/9入社歓迎,400万円～1000万円
35,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,高級ハイヤー・タクシーでの観光案内や送迎 ★予約業務がメインのため、収入が安定 ★給与保証制度があり、焦らずに成長できます。,400万円～1000万円
36,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,【官公庁案件100％】保有資格に合わせて、土木/建築/造園/管/電気のいずれかの工事の施工管理業務 ◎現場へは直行直帰OK ◎現場作業時は残業ほぼなし,400万円～700万円
37,株式会社いーふらん | 高級宝飾時計商おたからや,≪100%反響営業／テレアポなし》店舗での接客・提案営業（ブランド品の査定・買取）9割以上が入社後すぐ月収50万円以上獲得★残業禁止・転勤なし,400万円～800万円
